Ngành,Mô tả,Kỹ năng cần thiết,Cơ hội việc làm
Công nghệ thông tin,"Làm việc với phần mềm, hệ thống...",Logic; tư duy phân tích; code,"Kỹ sư phần mềm; AI engineer"
Kinh tế,"Nghiên cứu về thị trường, tài chính, quản lý doanh nghiệp",Phân tích số liệu; giao tiếp; quản lý tài chính,"Chuyên viên tài chính; Kế toán; Quản lý doanh nghiệp"
Y dược,"Chăm sóc sức khỏe, nghiên cứu thuốc, điều trị bệnh",Kiến thức sinh học; kỹ năng giao tiếp; đạo đức nghề nghiệp,"Bác sĩ; Dược sĩ; Điều dưỡng"
Luật,"Nghiên cứu pháp luật, tư vấn pháp lý, bảo vệ quyền lợi",Lập luận; phân tích; giao tiếp; đạo đức nghề nghiệp,"Luật sư; Cố vấn pháp lý; Công chứng viên"
Kiến trúc,"Thiết kế công trình, quy hoạch đô thị, sáng tạo không gian sống",Tư duy không gian; sáng tạo; kỹ năng vẽ,"Kiến trúc sư; Quy hoạch viên; Thiết kế nội thất"
Sư phạm,"Giảng dạy, đào tạo, phát triển giáo dục",Kỹ năng truyền đạt; kiên nhẫn; sáng tạo,"Giáo viên; Giảng viên; Chuyên viên đào tạo"
Du lịch và khách sạn,"Tổ chức tour, quản lý khách sạn, hướng dẫn viên",Giao tiếp; ngoại ngữ; tổ chức sự kiện,"Hướng dẫn viên du lịch; Quản lý khách sạn; Nhân viên lễ tân"
Nông nghiệp,"Nghiên cứu, sản xuất và quản lý nông sản",Kiến thức sinh học; quản lý sản xuất; kỹ năng thực hành,"Kỹ sư nông nghiệp; Quản lý trang trại; Chuyên viên khuyến nông"
Truyền thông và báo chí,"Sản xuất nội dung, truyền thông đa phương tiện, báo chí",Viết lách; sáng tạo; giao tiếp; phân tích thông tin,"Phóng viên; Biên tập viên; Chuyên viên truyền thông"
Điện - Điện tử,"Thiết kế, vận hành hệ thống điện, điện tử",Tư duy logic; kỹ năng kỹ thuật; giải quyết vấn đề,"Kỹ sư điện; Kỹ sư điện tử; Kỹ thuật viên bảo trì"
Tâm lý học,"Nghiên cứu hành vi, tư vấn tâm lý, hỗ trợ cộng đồng",Lắng nghe; phân tích; giao tiếp; đồng cảm,"Chuyên viên tư vấn; Nhà nghiên cứu tâm lý; Nhân sự"
